"Unweighted_Sample","Weighted_Sample","Question","Nationality","Gender","Rank (text)","Rank (number)","Percentage"
483,501,"They have/make a decent amount of money","Australian","Men","Ranked fifth",5,0.13
483,501,"They have/make a decent amount of money","Australian","Men","Ranked sixth",6,0.7
483,501,"They have similar interests to me","Australian","Men","Ranked first",1,0.13
483,501,"They have similar interests to me","Australian","Men","Ranked second",2,0.18
483,501,"They have similar interests to me","Australian","Men","Ranked third",3,0.15
483,501,"They have similar interests to me","Australian","Men","Ranked fourth",4,0.22
483,501,"They have similar interests to me","Australian","Men","Ranked fifth",5,0.22
483,501,"They have similar interests to me","Australian","Men","Ranked sixth",6,0.09
525,507,"They are good looking","Australian","Women","Ranked first",1,0.1
525,507,"They are good looking","Australian","Women","Ranked second",2,0.07
525,507,"They are good looking","Australian","Women","Ranked third",3,0.16
525,507,"They are good looking","Australian","Women","Ranked fourth",4,0.12
525,507,"They are good looking","Australian","Women","Ranked fifth",5,0.37
525,507,"They are good looking","Australian","Women","Ranked sixth",6,0.19
525,507,"They have a personality I like","Australian","Women","Ranked first",1,0.49
525,507,"They have a personality I like","Australian","Women","Ranked second",2,0.24
525,507,"They have a personality I like","Australian","Women","Ranked third",3,0.14
525,507,"They have a personality I like","Australian","Women","Ranked fourth",4,0.08
525,507,"They have a personality I like","Australian","Women","Ranked fifth",5,0.04
525,507,"They have a personality I like","Australian","Women","Ranked sixth",6,0.02
525,507,"They have a sense of humour I like","Australian","Women","Ranked first",1,0.15
525,507,"They have a sense of humour I like","Australian","Women","Ranked second",2,0.32
525,507,"They have a sense of humour I like","Australian","Women","Ranked third",3,0.24
525,507,"They have a sense of humour I like","Australian","Women","Ranked fourth",4,0.16
525,507,"They have a sense of humour I like","Australian","Women","Ranked fifth",5,0.08
525,507,"They have a sense of humour I like","Australian","Women","Ranked sixth",6,0.05
525,507,"They are intelligent","Australian","Women","Ranked first",1,0.1
525,507,"They are intelligent","Australian","Women","Ranked second",2,0.19
525,507,"They are intelligent","Australian","Women","Ranked third",3,0.2
525,507,"They are intelligent","Australian","Women","Ranked fourth",4,0.27
525,507,"They are intelligent","Australian","Women","Ranked fifth",5,0.19
525,507,"They are intelligent","Australian","Women","Ranked sixth",6,0.05
525,507,"They have/make a decent amount of money","Australian","Women","Ranked first",1,0.01
525,507,"They have/make a decent amount of money","Australian","Women","Ranked second",2,0.03
525,507,"They have/make a decent amount of money","Australian","Women","Ranked third",3,0.07
525,507,"They have/make a decent amount of money","Australian","Women","Ranked fourth",4,0.11
525,507,"They have/make a decent amount of money","Australian","Women","Ranked fifth",5,0.2
525,507,"They have/make a decent amount of money","Australian","Women","Ranked sixth",6,0.59
525,507,"They have similar interests to me","Australian","Women","Ranked first",1,0.15
525,507,"They have similar interests to me","Australian","Women","Ranked second",2,0.15
525,507,"They have similar interests to me","Australian","Women","Ranked third",3,0.2
525,507,"They have similar interests to me","Australian","Women","Ranked fourth",4,0.25
525,507,"They have similar interests to me","Australian","Women","Ranked fifth",5,0.14
525,507,"They have similar interests to me","Australian","Women","Ranked sixth",6,0.11
680,779,"They are good looking","British","Men","Ranked first",1,0.14
680,779,"They are good looking","British","Men","Ranked second",2,0.15
680,779,"They are good looking","British","Men","Ranked third",3,0.18
680,779,"They are good looking","British","Men","Ranked fourth",4,0.2
