Name,Location,Latitude,Longitude,Empire State Burger,Chicken Tikka,Gammon afternoon deal,Chocolate Brownie,Doom Bar,Birra Moretti,Porn Star at 2 x £12,Porn Star (glass),MEAL,Notes,Moretti as a % of a tikka,Moretti as % of burger,PRICE BUCKETS,Food cost £,Drink cost £
The Christopher Creeke,Bournemouth,50.7223798,-1.8657451,£8.75,£6.40,£5.99,£3.40,£2.29,£3.19,£6.30,n/a,£24.03,,49.84%,36.46%,£25.20-,£15.15,£5.48
The Aneurin Bevin,Cardiff,51.5077212,-3.2000368,£9.25,£8.39,£5.99,£3.95,£2.59,£3.15,£6.30,n/a,£27.33,,37.54%,34.05%,£25.21+,£17.64,£5.74
The Red Lion,Thetford,52.4134177,0.7504821,£8.55,£8.29,£5.90,£3.85,£2.29,£3.15,n/a,£5.99,£26.13,,38.00%,36.84%,£25.21+,£16.84,£5.44
George Hotel,Bewdley,52.3757311,-2.3155114,£8.75,£7.90,£5.90,£3.85,£2.49,£3.15,£6.30,n/a,£26.14,,39.87%,36.00%,£25.21+,£16.65,£5.64
Goldengrove,"Stratford, London",51.5437678,0.0039464,£8.75,£7.90,£5.90,£3.85,£2.35,£3.15,£6.30,n/a,£26.00,,39.87%,36.00%,£25.21+,£16.65,£5.50
The Ivor Davies,Cardiff,51.4813132,-3.2003483,£9.25,£7.50,£5.90,£3.95,£2.49,£3.15,£6.30,n/a,£26.34,,42.00%,34.05%,£25.21+,£16.75,£5.64
The Moon Under Water,Milton Keynes,52.0418076,-0.7488899,£8.75,£7.49,£5.90,£3.85,£2.25,£3.15,£6.30,n/a,£25.49,,42.06%,36.00%,£25.21+,£16.24,£5.40
Wetherspoons,Milton Keynes,52.0376303,-0.767675,£8.75,£7.49,£5.90,£3.85,£2.25,£3.15,£6.30,n/a,£25.49,,42.06%,36.00%,£25.21+,£16.24,£5.40
The George,"Croydon, London",51.3857277,-0.1179414,£8.75,£7.40,£5.90,£3.85,£2.59,£3.15,£6.30,n/a,£25.74,,42.57%,36.00%,£25.21+,£16.15,£5.74
The Ford Maddox Brown,Wilmslow Park,53.458163,-2.2267009,£8.75,£7.40,£5.90,£3.85,£2.29,£3.15,£6.30,n/a,£25.44,,42.57%,36.00%,£25.21+,£16.15,£5.44
The Great Central,Wilmslow Road,53.4409321,-2.2194566,£8.75,£7.40,£5.90,£3.85,£2.29,£3.15,£6.30,n/a,£25.44,,42.57%,36.00%,£25.21+,£16.15,£5.44
The Crown,Matlock,53.1388544,-1.5561225,£8.75,£7.40,£5.90,£3.85,£2.29,£3.15,£6.30,n/a,£25.44,,42.57%,36.00%,£25.21+,£16.15,£5.44
The Harbord Harbord,Middleton,53.550165,-2.198297,£8.75,£7.19,£5.90,£3.85,£2.29,£3.15,£6.30,n/a,£25.23,,43.81%,36.00%,£25.21+,£15.94,£5.44
The Moon And Spoon,Slough,51.5094736,-0.5959543,£8.75,£7.19,£5.90,£3.85,£2.29,£3.15,£6.30,n/a,£25.23,,43.81%,36.00%,£25.21+,£15.94,£5.44
The Furze Wren,"Bexleyheath, London",51.4565677,0.1479545,£8.75,£7.19,£5.90,£3.85,£2.29,£3.15,£6.30,n/a,£25.23,,43.81%,36.00%,£25.21+,£15.94,£5.44
JJ Moon's ,"Tooting, London",51.4278723,-0.168414,£8.99,£6.99,n/a,£4.05,£2.29,£3.15,£6.30,n/a,£25.47,,45.06%,35.04%,£25.21+,£15.98,£5.44
The Towan Blystra,Newquay,50.4143336,-5.0774257,£10.85,£8.40,£6.40,£3.90,£2.55,£3.09,£6.30,n/a,£28.79,,36.79%,28.48%,£27.50+,£19.25,£5.64
The Green Parrot,Perranporth,50.3445057,-5.1559044,£10.85,£8.40,£6.40,£3.90,£2.55,£3.09,£6.30,n/a,£28.79,,36.79%,28.48%,£27.50+,£19.25,£5.64
The Hain Line,St Ives,50.2114686,-5.4807442,£10.85,£8.40,£6.40,£3.90,£2.45,£3.09,£6.30,n/a,£28.69,,36.79%,28.48%,£27.50+,£19.25,£5.54
Try Dowr,Truro,50.2621615,-5.0503228,£10.35,£8.40,£5.75,£3.90,£2.45,£3.09,£6.30,n/a,£28.19,,36.79%,29.86%,£27.50+,£18.75,£5.54
The Packet Station,Falmouth,50.1547722,-5.0730746,£10.35,£8.29,£5.90,£3.90,£2.45,£3.09,£6.30,n/a,£28.08,,37.27%,29.86%,£27.50+,£18.64,£5.54
The John Francis Basset,Camborne,50.2134828,-5.3009669,£10.35,£8.29,£5.65,£3.80,£2.39,£3.09,£6.30,n/a,£27.92,,37.27%,29.86%,£27.50+,£18.64,£5.48
The Limes,Fakenham,52.8286318,0.8484431,£8.75,£8.29,£5.90,£3.85,£2.29,£3.09,n/a,£5.85,£26.27,,37.27%,35.31%,£25.21+,£17.04,£5.38
Yr Hen Dderwen,Carmarthen,51.857088,-4.3049921,£8.75,£8.29,£5.90,£3.85,£2.29,£3.09,£6.30,n/a,£26.27,,37.27%,35.31%,£25.21+,£17.04,£5.38
The Wyndham Arms,Bridgend,51.5066271,-3.5792785,£8.75,£8.29,£5.65,£3.85,£2.29,£3.09,£6.30,n/a,£26.27,,37.27%,35.31%,£25.21+,£17.04,£5.38
Royal Victoria Pavillion,Ramsgate,51.3319111,1.4240063,£10.25,£7.99,n/a,£3.99,£2.49,£3.09,£6.50,n/a,£27.81,,38.67%,30.15%,£27.50+,£18.24,£5.58
The Ernest Willows,Cardiff,51.485764,-3.1655802,£9.25,£7.99,£5.99,£3.95,£2.49,£3.09,£6.30,n/a,£26.77,,38.67%,33.41%,£25.21+,£17.24,£5.58
The Castle Hotel,Ruthin,53.1146104,-3.3103745,£8.90,£7.90,£5.99,£3.85,£2.29,£3.09,£6.30,n/a,£26.03,,39.11%,34.72%,£25.21+,£16.80,£5.38
The Baron Cadogan,Caversham,51.4680792,-0.9725126,£8.75,£7.90,£5.90,£3.85,£2.69,£3.09,£6.30,n/a,£26.28,,39.11%,35.31%,£25.21+,£16.65,£5.78
The Hippodrome,March,52.5514984,0.0873721,£8.75,£7.90,£5.90,£3.85,£2.29,£3.09,£6.30,n/a,£25.88,,39.11%,35.31%,£25.21+,£16.65,£5.38
The Swan,Leighton Buzzard,51.915839,-0.663267,£8.75,£7.90,£5.90,£3.85,£2.29,£3.09,£6.30,n/a,£25.88,,39.11%,35.31%,£25.21+,£16.65,£5.38
The Old Manor,Bracknell,51.4165916,-0.7453273,£8.75,£7.90,£5.90,£3.85,£2.29,£3.09,£6.30,n/a,£25.88,,39.11%,35.31%,£25.21+,£16.65,£5.38
The Gig House,Wokingham,51.4094721,-0.8358234,£8.75,£7.90,£5.90,£3.85,£2.29,£3.09,£6.30,n/a,£25.88,,39.11%,35.31%,£25.21+,£16.65,£5.38
The Admiral Sir Lucius Curtis,Southampton,50.896835,-1.3938271,£8.75,£7.90,£5.90,£3.85,£2.29,£3.09,£6.30,n/a,£25.88,,39.11%,35.31%,£25.21+,£16.65,£5.38
The Chief Justice of the Common Pleas,Keswick,54.6018685,-3.1379087,£8.70,£7.85,£5.70,£3.80,£2.59,£3.09,£6.30,n/a,£26.03,,39.36%,35.52%,£25.21+,£16.55,£5.68
The Swan & Angel,St Ives,52.3230902,-0.0728327,£8.75,£7.79,£6.40,£3.85,£1.99,£3.09,£6.30,n/a,£25.47,,39.67%,35.31%,£25.21+,£16.54,£5.08
The Crown Hotel,Biggleswade,52.0870445,-0.2649959,£8.65,£7.79,£6.40,£3.60,£2.49,£3.09,£6.20,n/a,£25.62,,39.67%,35.72%,£25.21+,£16.44,£5.58
