"","name","AreaSqKm","state"
"260","Otto Lake",0.031,"MN"
"261","Horseshoe Lake",0.035,"MN"
"262","Round Lake",0.325,"MN"
"263","Mill Lake",0.097,"MN"
"264","Brandy Lake",1.312,"MN"
"265","Waubun Lake",0.196,"MN"
"266","Twin Oaks Lake",0.025,"MN"
"267","Webster Lake",0.05,"MN"
"268","Sommer Lake",0.447,"MN"
"269","Onstad Lake",0.322,"MN"
"270","Bray Lake",0.456,"MN"
"271","Meadow Lake",0.272,"MN"
"272","John Lake",0.148,"MN"
"273","East Silent Lake",1.264,"MN"
"274","Evenmoe Lake",0.209,"MN"
"275","Schmall Marsh",0.085,"MN"
"276","Slotsye Lake",0.095,"MN"
"277","Sands Lake",0.337,"MN"
"278","Jones Lake",0.191,"MN"
"279","Elbow Lake",0.127,"MN"
"280","Candor Lake",0.083,"MN"
"281","Spring Lake",0.311,"MN"
"282","Malmgren Lake",0.119,"MN"
"283","Brown Lake",0.241,"MN"
"284","Hill River Lake",0.405,"MN"
"285","Page Lake",1.444,"MN"
"286","Hjermenrud Lake",0.593,"MN"
"287","Horseshoe Lake",0.436,"MN"
"288","Wright Lake",0.135,"MN"
"289","Nemec Lake",0.526,"MN"
"290","George Lake",0.149,"MN"
"291","Spring Lake",0.218,"MN"
"292","Edwin Lake",0.243,"MN"
"293","Kelly Lake",0.082,"MN"
"294","Northern Lake",0.319,"MN"
"295","Squareboat Lake",0.048,"MN"
"296","Circle Lake",0.154,"MN"
"297","Frethem Lake",0.218,"MN"
"298","Homme Lake",0.532,"MN"
"299","Hendrickson Lake",0.044,"MN"
"300","Shay Lake",0.112,"MN"
"301","Store Lake",0.205,"MN"
"302","Second Silver Lake",0.766,"MN"
"303","Little Bass Lake",0.299,"MN"
"304","Pine Lake",0.326,"MN"
"305","Crooked Lake",0.127,"MN"
"306","South Badger Lake",0.767,"MN"
"307","Ostlund Lake",0.02,"MN"
"308","Kerbs Lake",0.42,"MN"
"309","Second Lake",0.015,"MN"
"310","Lake Lundeberg",0.368,"MN"
"311","Gebo Lake",0.278,"MN"
"312","Fox Lake",0.105,"MN"
"313","Fanny Lake",0.089,"MN"
"314","Raspberry Lake",0.11,"MN"
"315","Perch Lake",0.29,"MN"
"316","Leos Pond",0.00415405,"MN"
"317","Hanover Slough",0.015,"MN"
"318","Christopherson Lake",0.297,"MN"
"319","Lake Sina",0.211,"MN"
"320","Molly Stark Lake",0.588,"MN"
"321","Fischer Lake",0.243,"MN"
"322","Woodchuck Lake",0.088,"MN"
"323","Rikansrud Lake",0.025,"MN"
"324","Fox Lake",0.689,"MN"
"325","Rosby Lake",0.275,"MN"
"326","Rice Lake",0.009,"MN"
"327","Erickson Lake",0.238,"MN"
"328","North Lake Oscar",0.488,"MN"
"329","Mud Lake",0.029,"MN"
"330","Alvin Lake",0.042,"MN"
"331","Halvorson Lake",0.205,"MN"
"332","Cross Lake",0.317,"MN"
"333","Lark Lake",0.126,"MN"
"334","Slaughter Slough",0.183,"MN"
"335","Little Freeborn Lake",0.083,"MN"
"336","Little Chippewa Lake",1.063,"MN"
"337","Lambert Lake",0.112,"MN"
"338","Camp Lake",0.042,"MN"
"339","Elizabeth Lake",0.282,"MN"
"340","Loves Lake",0.088,"MN"
"341","Baumbach Lake",0.736,"MN"
"342","Underberg Lake",0.165,"MN"
"343","Mule John Lake",0.154,"MN"
"344","North Twin Lake",0.563,"MN"
"345","Round Lake",0.316,"MN"
"346","Donalds Lake",0.651,"MN"
"347","Mill Lake",1.774,"MN"
"348","Goose Lake",0.108,"MN"
"349","Main Lake",0.066,"MN"
"350","Burrs Lake",0.239,"MN"
"351","Sivertson Lake",0.348,"MN"
"352","Little Pine Lake",0.293,"MN"
"353","Shakopee Lake",0.886,"MN"
"354","West Cranberry Lake",0.055,"MN"
"355","Cesar Lake",0.05,"MN"
"356","Wapatus Lake",0.06,"MN"
"357","Mud Lake",0.175,"MN"
"358","Sand Lake",0.191,"MN"
"359","Lake Louisa",0.872,"MN"
"360","Siren Lake",0.041,"MN"
"361","Celia Lake",0.392,"MN"
"362","Mud Lake",0.334,"MN"
"363","Little Rock Lake",0.133,"MN"
"364","Monson Lake",0.223,"MN"
"365","Mud Lake",0.01,"MN"
"366","Swift Falls Reservoir",0.037,"MN"
"367","Lake Stony",0.351,"MN"
"368","Lake Lomond",0.378,"MN"
"369","Steenerson Lake",0.037,"MN"
"370","Clamshell Lake",0.839,"MN"
"371","Lake Marquette",2.059,"MN"
"372","Pelican Lake",14.01536279,"MN"
"373","Conley Lake",0.37,"MN"
