"","name","AreaSqKm","state"
"10012","Island Lake",0.173,"MN"
"10013","Indian Lake",0.361,"MN"
"10014","Lake Meyer",0.149,"MN"
"10015","Lake Sixteen",0.365,"MN"
"10016","Lindberg Lake",0.358,"MN"
"10017","Anderson Lake",0.045,"MN"
"10018","Mud Lake",0.553,"MN"
"10019","Lake Mary",0.418,"MN"
"10020","Willborg Lake",0.114,"MN"
"10021","Lake Louise",0.846,"MN"
"10022","Buckboard Lake",0.111,"MN"
"10023","Richards Lake",0.149,"MN"
"10024","Turtle Lake",0.863,"MN"
"10025","Glanders Lake",0.193,"MN"
"10026","Camp Lake",0.857,"MN"
"10027","Stony Lake",0.098,"MN"
"10028","Linbom Lake",0.386,"MN"
"10029","Stony Lake",0.065,"MN"
"10030","Gimiwan Lake",0.295,"MN"
"10031","Hidden Lake",0.051,"MN"
"10032","Sugar Bush Lake",0.277,"MN"
"10033","Carver Lake",0.167,"MN"
"10034","Fourth Lake",0.506,"MN"
"10035","Carver Lake",0.056,"MN"
"10036","Heart Lake",0.858,"MN"
"10037","Solberg Lake",0.228,"MN"
"10038","Nilson Lake",0.301,"MN"
"10039","Augusta Lake",0.275,"MN"
"10040","Leven Lake",1.138,"MN"
"10041","Coleman Lake",0.069,"MN"
"10042","Small Lake",0.125,"MN"
"10043","Whipple Lake",0.049,"MN"
"10044","Valines Lake",0.046,"MN"
"10045","Triplet Lakes",0.031,"MN"
"10046","Beckendorf Lake",0.158,"MN"
"10047","Ole Lake",0.15,"MN"
"10048","Little Long Lake",0.049,"MN"
"10049","Knutson Lake",0.169,"MN"
"10050","Hemphill Lake",0.11,"MN"
"10051","Allen Lake",0.083,"MN"
"10052","Frisby Lake",0.16,"MN"
"10053","Stone Lake",0.084,"MN"
"10054","Krantz Lake",0.16,"MN"
"10055","East Annalaide Lake",0.298,"MN"
"10056","Fessland Lake",0.069,"MN"
"10057","Saint Johns Lake",0.775,"MN"
"10058","Faille Lake",0.235,"MN"
"10059","Browns Lake",0.004,"MN"
"10060","Lower Camel Lake",0.077,"MN"
"10061","Horseshoe Lake",0.094,"MN"
"10062","Rush Lake",0.14,"MN"
"10063","Fish Lake",0.696,"MN"
"10064","Lower Mud Lake",0.119,"MN"
"10065","Dellwater Lake",0.774,"MN"
"10066","Fairbanks Lake",0.078,"MN"
"10067","Blake Lake",0.061,"MN"
"10068","Chandler Lake",0.26,"MN"
"10069","Boot Lake",0.112,"MN"
"10070","Boot Lake",0.008,"MN"
"10071","Diamond Lake",0.72,"MN"
"10072","Spring Lake",0.081,"MN"
"10073","Powers Lake",0.068,"MN"
"10074","Bingham Lake",1.074,"MN"
"10075","Stony Lake",0.242,"MN"
"10076","Blacksmith Lake",0.16,"MN"
"10077","Lake Rosie",0.06,"MN"
"10078","Deer Lake",1.185,"MN"
"10079","Lake Twenty",0.155,"MN"
"10080","Grant Lake",0.806,"MN"
"10081","Ingram Lake",0.176,"MN"
"10082","Leslin Lake",0.048,"MN"
"10083","Burr Oak Lake",0.109,"MN"
"10084","Deer Lake",0.131,"MN"
"10085","Spearhead Lake",0.694,"MN"
"10086","Colombo Lake",0.068,"MN"
"10087","Meadow Lake",0.17,"MN"
"10088","Little Puposky Lake",0.527,"MN"
"10089","Hopkins Lake",0.475,"MN"
"10090","Boulder Lake",1.309,"MN"
"10091","Camp Lake",0.057,"MN"
"10092","Cedarskirt Lake",0.243,"MN"
"10093","Gina Lake",0.19573559,"MN"
"10094","Mud Lake",0.192,"MN"
"10095","Ojibway Lake",0.708,"MN"
"10096","Halverson Lake",0.079,"MN"
"10097","West Crooked Lake",0.992,"MN"
"10098","Duglas Lake",0.046,"MN"
"10099","Anderson Lake",0.242,"MN"
"10100","Lake Isabelle",0.164,"MN"
"10101","Altermatt Lake",0.505,"MN"
"10102","Coon Lake",0.329,"MN"
"10103","Feucht Lake",0.047,"MN"
"10104","Lake Twentyone",0.133,"MN"
"10105","Bass Lakes",0.072,"MN"
"10106","Lone Tree Lake",0.078,"MN"
"10107","Helen Lake",0.288,"MN"
"10108","Carrie Lake",0.35077247,"MN"
"10109","Irish Lake",0.673,"MN"
"10110","Long Lake",0.388,"MN"
"10111","Trace Lake",1.014,"MN"
"10112","Jacobs Lake",0.126,"MN"
"10113","Peat Lake",0.097,"MN"
"10114","Nagel Lake",0.285,"MN"
"10115","Hart Lake",0.842,"MN"
"10116","First Lake",0.141,"MN"
"10117","North Lake",0.135,"MN"
"10118","Little Rice Lake",0.278,"MN"
"10119","School Lake",0.749,"MN"
"10120","Lake Lydia",0.09,"MN"
"10121","Little Fish Trap Lake",0.149,"MN"
"10122","Lake Seymour",0.168,"MN"
"10123","Kansas Lake",1.577,"MN"
"10124","Tamarack Lake",0.038,"MN"
"10125","Howard Lake",0.025,"MN"
"10126","Beauty Lake",0.918,"MN"
"10127","Big Bass Lake",0.534,"MN"
"10128","Joyce Lake",0.264,"MN"
"10129","Mud Lake",0.129,"MN"
"10130","Jim Lake",0.022,"MN"
"10131","Little Cranberry Lake",0.049,"MN"
"10132","Doe Lake",0.039,"MN"
"10133","Spring Lake",0.186,"MN"
"10134","West Nelson Lake",0.145,"MN"
"10135","Crystal Lake",0.767,"MN"
"10136","Cut Lake",0.132,"MN"
"10137","Thoen Lake",0.599,"MN"
"10138","Long Lake",0.449,"MN"
"10139","Polander Lake",0.025,"MN"
"10140","Westman Lake",0.044,"MN"
"10141","Corner Lake",0.072,"MN"
"10142","Hardwood Lake",0.064,"MN"
"10143","Fish Lake",0.159,"MN"
"10144","Taylor Lake",0.05,"MN"
"10145","Pony Lake",0.003,"MN"
"10146","Lehman Lake",0.011,"MN"
"10147","Cranberry Lake",0.147,"MN"
"10148","Drewery Lake",0.628,"MN"
"10149","Perch Lake",0.071,"MN"
"10150","Muskrat Lake",0.088,"MN"
"10151","Gadbolt Lake",0.248,"MN"
"10152","Ten Lake",0.658,"MN"
"10153","Hanson Lake",0.379,"MN"
"10154","Chicken Lake",0.39370752,"MN"
"10155","Rat Lake",0.08,"MN"
"10156","Long Lake",0.547,"MN"
"10157","Hessie Lake",0.146,"MN"
"10158","Moss Lake",0.819,"MN"
"10159","Flenner Lake",0.083,"MN"
"10160","Crandall Lake",0.257,"MN"
"10161","Luck Lake",0.099,"MN"
"10162","Kalkenbrenner Lake",0.48721042,"MN"
"10163","Browns Lake",1.249,"MN"
"10164","Clear Lake",0.106,"MN"
"10165","Juni Lake",0.245,"MN"
"10166","School Lake",0.281,"MN"
"10167","Bernhart Lake",0.051,"MN"
"10168","Gould Lake",0.421,"MN"
"10169","Bullhead Lake",0.084,"MN"
"10170","Tex Lake",0.358,"MN"
"10171","Lake Harding",0.607,"MN"
"10172","Lake Jennifer",0.033,"MN"
"10173","Moose Lake",0.015,"MN"
"10174","Island Lake",0.405,"MN"
"10175","Little Turtle Lake",0.095,"MN"
"10176","Little Mud Lake",0.071,"MN"
"10177","Paquet Lake",0.541,"MN"
"10178","Rice Lake",0.373,"MN"
"10179","Lake Four Hundred Eighteen",0.042,"MN"
"10180","Bag Lake",0.091,"MN"
"10181","Wabegon Lake",0.16,"MN"
"10182","North Silver Lake",0.812,"MN"
"10183","Budd Lake",0.895,"MN"
"10184","Lake Charlotte",0.484,"MN"
"10185","Dollar Lake",0.011,"MN"
"10186","Muskrat Lake",0.088,"MN"
"10187","Still Lake",0.015,"MN"
"10188","Bass Lake",0.073,"MN"
"10189","Jack Lake",0.571,"MN"
"10190","Mud Lake",0.722,"MN"
"10191","Rice Lake",0.27687411,"MN"
"10192","Little Watab Lake",0.224,"MN"
"10193","Kraft Lake",0.036,"MN"
"10194","Dale Lake",0.013,"MN"
"10195","Sheep Lake",0.065,"MN"
"10196","Lake Ericson",0.024,"MN"
"10197","Round Lake",0.095,"MN"
"10198","Surprise Lake",0.1,"MN"
"10199","Cuss Lake",0.324,"MN"
"10200","Kepper Lake",0.002,"MN"
"10201","Horse Lake",0.101,"MN"
"10202","Damon Lake",0.277,"MN"
"10203","Kujas Lake",0.491,"MN"
"10204","Island Lake",0.445,"MN"
"10205","Pflueger Lake",0.049,"MN"
"10206","Rice Lake",0.141,"MN"
"10207","Goodners Lake",0.768,"MN"
"10208","Upper Loon Lake",0.48,"MN"
"10209","Ding Pot Lake",0.094,"MN"
"10210","Cub Impoundment",0.10702411,"MN"
"10211","Island Lake",0.375,"MN"
"10212","Lake Todd",0.867,"MN"
"10213","Bog Lake",0.16,"MN"
"10214","Silversack Lake",0.075,"MN"
"10215","Armstrong Lake",0.472,"MN"
"10216","Solberg Lakebed",0.001,"MN"
"10217","Sand Lake",0.769,"MN"
"10218","Little Woman Lake",0.146,"MN"
"10219","Minisogama Lake",0.511,"MN"
"10220","Sebie Lake",0.715,"MN"
"10221","Echo Lake",0.071,"MN"
"10222","West Twin Lake",0.158,"MN"
"10223","Lake Harry",0.0952665,"MN"
"10224","Raven Lake",0.052,"MN"
"10225","Primmer Lake",0.167,"MN"
"10226","Hammerhetas Lake",0.363,"MN"
"10227","Spearns Lake",0.09,"MN"
"10228","Sup Lake",0.063,"MN"
"10229","Camp Lake",0.133,"MN"
"10230","Collins Lake",0.23020488,"MN"
"10231","Carnelian Lake",0.699,"MN"
"10232","Jacks Lake",0.113,"MN"
"10233","Porter Lake",0.103,"MN"
"10234","Mud Lake",0.27249886,"MN"
"10235","Rice Lake",0.861,"MN"
"10236","Pickerel Lake",0.003,"MN"
"10237","Louise Lake",0.22,"MN"
"10238","Eagle Lake",0.127,"MN"
"10239","Kerkela Lake",0.25007292,"MN"
"10240","Beaver Lake",0.438,"MN"
"10241","Haugen Lake",0.075,"MN"
"10242","Hole-in-Bog Lake",0.308,"MN"
"10243","Victor Lake",0.421,"MN"
"10244","Mud Lake",0.206,"MN"
"10245","Pelkey Lake",0.416,"MN"
"10246","Island Lake",0.161,"MN"
"10247","Lake Ojibway",0.1502504,"MN"
"10248","East Pike Lake",2.215,"MN"
"10249","Powers Lake",1.336,"MN"
"10250","Long Lake",1.6,"MN"
"10251","Eagle Lake",0.1,"MN"
"10252","Frieze Lake",0.157,"MN"
"10253","Hampton Lake",0.042,"MN"
"10254","Pond Lily Lake",0.018,"MN"
"10255","Little Pelican Lake",1.076,"MN"
"10256","Lynch Lake",0.25,"MN"
"10257","Strawberry Lake",0.073,"MN"
"10258","Farley Lakes",0.122,"MN"
"10259","Barnes Lake",0.28,"MN"
"10260","Yellow Lake",0.296,"MN"
"10261","Oak Lake",0.259,"MN"
"10262","Rice Lake",0.401,"MN"
"10263","Stevens Lake",0.134,"MN"
"10264","Peterson Lake",0.341,"MN"
"10265","East Emerson Lake",0.123,"MN"
"10266","Henry Lake",0.079,"MN"
"10267","Lee Lake",0.049,"MN"
"10268","Clover Leaf Lake",0.074,"MN"
"10269","Mud Lake",0.216,"MN"
"10270","Pecks Puddle",0.052,"MN"
"10271","Rabbit Lake",0.125,"MN"
"10272","Ida Lake",0.44,"MN"
"10273","Silver Lake",0.749,"MN"
"10274","Simpson Lake",0.13,"MN"
"10275","Quinn Lake",0.094,"MN"
"10276","Meyer Lake",0.226,"MN"
"10277","West Dog Lake",0.046,"MN"
"10278","Tamarack Lake",0.25,"MN"
"10279","Maxim Lake",0.191,"MN"
"10280","Slough Lake",0.118,"MN"
"10281","Vinegar Lake",0.039,"MN"
"10282","Second Dog Lake",0.074,"MN"
"10283","First Dog Lake",0.139,"MN"
"10284","Dishpan Lake",0.17,"MN"
"10285","Schoolhouse Lake",0.103,"MN"
"10286","Grass Lake",0.182,"MN"
"10287","Mallard Pass Lake",0.14418585,"MN"
"10288","Cornell Lake",0.115,"MN"
"10289","Twin Lakes",1.124,"MN"
"10290","Bunny Lake",0.745,"MN"
"10291","Finn Lake",0.096,"MN"
"10292","Upper Trelipe Lake",1.681,"MN"
"10293","Shelden Lake",0.193,"MN"
"10294","Hoppy Lake",0.195,"MN"
"10295","Google Lake",0.413,"MN"
"10296","Little Pickerel Lake",0.096,"MN"
"10297","Little Bass Lake",0.544,"MN"
"10298","Yukon Lake",0.197,"MN"
"10299","Dog Lake",0.392,"MN"
"10300","Woods Lake",0.15,"MN"
"10301","Twomile Lake",0.109,"MN"
"10302","Bull Lake",0.135,"MN"
"10303","Flounder Lake",0.131,"MN"
"10304","Crato Lake",0.123,"MN"
"10305","Donut Lake",0.141,"MN"
"10306","Ball Club Impoundment",0.018,"MN"
"10307","Mosford Lake",0.423,"MN"
"10308","Stanley Lake",0.045,"MN"
"10309","Dahler Lake",0.961,"MN"
"10310","Andrews Lake",0.07,"MN"
"10311","Quida Lake",0.276,"MN"
"10312","Eagle Lake",0.973,"MN"
"10313","Egg Lake",0.454,"MN"
"10314","Portage Lake",0.258,"MN"
"10315","Bass Lake",0.365,"MN"
"10316","Beaver Lake",0.135,"MN"
"10317","Deadmans Lake",0.163,"MN"
"10318","Mud Lake",0.387,"MN"
"10319","Smoky Hollow Lake",0.496,"MN"
"10320","Birch Lake",0.413,"MN"
"10321","Prairie Lake",0.216,"MN"
"10322","Wilson Lake",0.331,"MN"
"10323","Eagle Lake",1.893,"MN"
"10324","Vang Lake",0.137,"MN"
"10325","Knights Lake",0.45557951,"MN"
"10326","Williams Lake",0.188,"MN"
"10327","Placid Lake",0.545,"MN"
"10328","Wren Lake",0.186,"MN"
"10329","Mud Lake",0.249,"MN"
"10330","Johnson Lake",0.107,"MN"
"10331","Holland Lake Impoundment",0.433,"MN"
"10332","Hoeffken Lake",0.383,"MN"
"10333","Myers Lake",0.234,"MN"
"10334","North Lake",0.318,"MN"
"10335","Bass Lake",0.177,"MN"
"10336","Upper Twin Lake",0.551,"MN"
"10337","Cottonwood Lake",0.79,"MN"
"10338","Lily Lake",0.069,"MN"
"10339","Goose Lake",0.28,"MN"
"10340","Starvation Lake",0.074,"MN"
"10341","Kenney Lake",0.426,"MN"
"10342","Long Lake",0.127,"MN"
"10343","Nelson Lake",1.241,"MN"
"10344","Little Goose Lake",0.026,"MN"
"10345","Taylor Lake",0.139,"MN"
"10346","Peterson Lake",0.626,"MN"
"10347","Preachers Lake",0.251,"MN"
"10348","Kutil Lake",0.07525616,"MN"
"10349","Jennison Lake",0.066,"MN"
"10350","Tank Lake",0.061,"MN"
"10351","Little Peterson Lake",0.04,"MN"
"10352","Burandt Lake",0.346,"MN"
"10353","Cedar Lake",0.128,"MN"
"10354","Severson Lake",0.519,"MN"
"10355","Bass Lake",0.324,"MN"
"10356","Mud Lake",0.193,"MN"
"10357","Thompson Lake",0.304,"MN"
"10358","Prescott Lake",0.031,"MN"
"10359","Taylor Lake",0.171,"MN"
"10360","Coon Lake",0.213,"MN"
"10361","Finn Lake",0.021,"MN"
"10362","Elm Lake",0.104,"MN"
"10363","Thomas Lake",0.28,"MN"
"10364","Moore Lake",0.741,"MN"
"10365","Danzel Slough",0.042,"MN"
"10366","Horseshoe Lake",0.206,"MN"
"10367","Carlson Lake",0.138,"MN"
"10368","Starry Lake",0.329,"MN"
"10369","Little Rose Lake",0.176,"MN"
"10370","Rice Lake",0.299,"MN"
"10371","Shanghai Lake",0.105,"MN"
"10372","Lake Rebecca",1.067,"MN"
"10373","Skelly Lake",0.266,"MN"
"10374","Weasel Lake",0.082,"MN"
"10375","Bossuot Lake",0.401,"MN"
"10376","Robina Lake",0.91,"MN"
"10377","Hallquist Lake",0.08,"MN"
"10378","Constance Lake",0.026,"MN"
"10379","Mike Lake",0.424,"MN"
"10380","Perch Lake",0.115,"MN"
"10381","Lake Charles",0.612,"MN"
"10382","Ahlswede Lake",0.235,"MN"
"10383","Long Lake",0.073,"MN"
"10384","Lake Tustin",0.349,"MN"
"10385","Gorman Lake",2.044,"MN"
"10386","Kelzer Pond",0.071,"MN"
"10387","Loon Lake",0.252,"MN"
"10388","Balloon Lake",0.065,"MN"
"10389","Lundquist Lake",0.049,"MN"
"10390","School Lake",0.263,"MN"
"10391","Cranberry Lake",0.001,"MN"
"10392","Goldilocks Lake",0.351,"MN"
"10393","Rapids Lake",0.007,"MN"
"10394","Katrina Lake",1.206,"MN"
"10395","Lake Ardmore",0.044,"MN"
"10396","Sixteen Lake",0.069,"MN"
"10397","Lake Four",0.535,"MN"
"10398","Moose Lake",0.595,"MN"
"10399","Bullhead Lake",0.028,"MN"
"10400","Crane Lake",0.208,"MN"
"10401","Doe Lake",0.021,"MN"
"10402","Little Smith Lake",0.16,"MN"
"10403","Lake Mabel",0.3972415,"MN"
"10404","Eggert Lake",0.209,"MN"
"10405","Sjodin Lake",0.18,"MN"
"10406","Rice Lake",0.064,"MN"
"10407","Big Horn Lake",0.135,"MN"
"10408","Hill Lake",0.192,"MN"
"10409","Nuttall Lake",0.267,"MN"
"10410","Chaska Lake",0.212,"MN"
"10411","Scott Lake",0.035,"MN"
"10412","Meadow Lake",0.018,"MN"
"10413","Little Pokegama Lake",0.154,"MN"
"10414","McAvity Lake",0.56,"MN"
"10415","Tye Lake",0.031,"MN"
"10416","Smith Lake",0.175,"MN"
"10417","Crooked Lake",0.537,"MN"
"10418","Willis Lake",0.06,"MN"
"10419","Overflow Lake",0.704,"MN"
"10420","Pleasant Lake",1.117,"MN"
"10421","Harrison Lake",0.018,"MN"
"10422","Long Pond",0.194,"MN"
"10423","Marie Lake",0.204,"MN"
"10424","Kehl Lake",0.218,"MN"
"10425","Saint Albans Bay",0.648,"MN"
"10426","Silver Lake",0.574,"MN"
"10427","Dagle Lake",0.054,"MN"
"10428","Spring Lake",0.146,"MN"
"10429","Spruce Lake",0.031,"MN"
"10430","East Lake",0.752,"MN"
"10431","Athos Lake",0.72,"MN"
"10432","Rice Lake",0.736,"MN"
"10433","Lotus Lake",0.96,"MN"
"10434","Little Ruby Lake",0.038,"MN"
"10435","Mud Lake",0.082,"MN"
"10436","Newstrom Lake",0.268,"MN"
"10437","Moose River Pool",0.577,"MN"
"10438","Beaver Lake",0.066,"MN"
"10439","Everson Lake",0.117,"MN"
"10440","Phelps Lake",1.178,"MN"
"10441","Metogga Lake",0.335,"MN"
"10442","Taylor Lake",0.212,"MN"
"10443","Brown Lake",0.062,"MN"
"10444","Round Lake",0.232,"MN"
"10445","Duck Lake",0.154,"MN"
"10446","Frederick Lake",0.004,"MN"
"10447","Lum Lake",0.225,"MN"
"10448","Birch Lake",0.156,"MN"
"10449","Staring Lake",0.635,"MN"
"10450","Glen Lake",0.235,"MN"
"10451","Mud Lake",0.338,"MN"
"10452","Blue Lake",1.021,"MN"
"10453","Pinnaker Lake",0.15,"MN"
"10454","Townline Lake",0.267,"MN"
"10455","Dirty Mike Lake",0.093,"MN"
"10456","Hanson Lake",0.273,"MN"
"10457","Weinberger Lake",0.116,"MN"
"10458","Bass Lake",0.736,"MN"
"10459","Little Cow Horn Lake",0.464,"MN"
"10460","Becker Lake",0.074,"MN"
"10461","Little Reiley Lake",0.148,"MN"
"10462","Camerton Lake",0.293,"MN"
"10463","Haskell Lake",0.387,"MN"
"10464","Moose Lake",0.209,"MN"
"10465","Pickerel Lake",2.47,"MN"
"10466","Reese Lake",0.061,"MN"
"10467","Cedar Lake",1.023,"MN"
"10468","Crescent Lake",0.17,"MN"
"10469","Line Lake",0.639,"MN"
"10470","Bass Lake",0.225,"MN"
"10471","Bass Lake",0.081,"MN"
"10472","Sucker Lake",0.152,"MN"
"10473","Buck Lake",0.085,"MN"
"10474","Kinnett Lake",0.165,"MN"
"10475","Lake Seven",0.021,"MN"
"10476","Blind Pete Lake",0.282,"MN"
"10477","Twin Lakes",0.04,"MN"
"10478","Hanrahan Lake",0.293,"MN"
"10479","Melody Lake",0.034,"MN"
"10480","Big Diamond Lake",0.537,"MN"
"10481","Twin Lake",0.087,"MN"
"10482","Devils Lake",0.249,"MN"
"10483","Spring Lake",0.025,"MN"
"10484","Birch Pond",0.008,"MN"
"10485","Ryan Lake",0.054,"MN"
"10486","Bass Lake",0.364,"MN"
"10487","Rum Lake",0.123,"MN"
"10488","Cenaiko Lake",0.114,"MN"
"10489","Elizabeth Lake",1.086,"MN"
"10490","Jack Lake",0.112,"MN"
"10491","Albert Lea Lake",0.001,"MN"
"10492","Lee Lake",0.082,"MN"
"10493","Locke Lake",0.084,"MN"
"10494","Third Sucker Lake",0.142,"MN"
"10495","Wolf Lake",0.765,"MN"
"10496","Alimagnet Lake",0.42,"MN"
"10497","Bay Lake",0.131,"MN"
"10498","Vanduse Lake",0.943,"MN"
"10499","Lily Lake",0.059,"MN"
"10500","Cross Lake",0.314,"MN"
"10501","Spring Lake",0.178,"MN"
"10502","Anderson Lake",0.216,"MN"
"10503","South Fork Lake",0.244,"MN"
"10504","Luchts Lake",0.031,"MN"
"10505","Glacier Lake",0.516,"MN"
"10506","Rat House Lake",0.418,"MN"
"10507","Ox Hide Lake",0.476,"MN"
"10508","Long Lake",0.506,"MN"
"10509","Snelling Lake",0.401,"MN"
"10510","South Coon Lake",0.192,"MN"
"10511","Beckman Lake",0.045,"MN"
"10512","Pomroy Lake",1.03,"MN"
"10513","Thomas Lake",0.159,"MN"
"10514","Fish Lake",0.125,"MN"
"10515","Augusta Lake",0.135,"MN"
"10516","Johnson Lake",0.168,"MN"
"10517","Turtle Lake",1.778,"MN"
"10518","Dutch Lake",0.161,"MN"
"10519","Pancake Lake",0.557,"MN"
"10520","Schwanz Lake",0.05408933,"MN"
"10521","Skunk Lake",0.089,"MN"
"10522","Long Lake",0.207,"MN"
"10523","Poplar Lake",0.147,"MN"
"10524","Alexis Lake",0.051,"MN"
"10525","Sandy Lake",0.125,"MN"
"10526","Round Lake",0.051,"MN"
"10527","Mandall Lake",0.198,"MN"
"10528","Nelson Lake",0.246,"MN"
"10529","Douglas Lake",0.294,"MN"
"10530","Lilly Lake",0.025,"MN"
"10531","Pocket Pond",0.38,"MN"
"10532","Mud Lake",0.083,"MN"
"10533","Lake Twelve",0.109,"MN"
"10534","Moran Lake",0.234,"MN"
"10535","Frost Lake",0.012,"MN"
"10536","Horseleg Lake",0.328,"MN"
"10537","Cole Lake",0.567,"MN"
"10538","Lost Lake",0.07,"MN"
"10539","Wakefield Lake",0.085,"MN"
"10540","Markham Pond",0.065,"MN"
"10541","Waymier Lake",0.113,"MN"
"10542","Clearwater Lake",0.299,"MN"
"10543","Pickerel Lake",0.12,"MN"
"10544","Mud Lake",0.237,"MN"
"10545","Rat Lake",0.013,"MN"
"10546","Mahoning Lakes",0.211,"MN"
"10547","Kleffman Lake",0.056,"MN"
"10548","La Lake",0.168,"MN"
"10549","Long Lake",0.24,"MN"
"10550","Echo Lake",0.099,"MN"
"10551","Hellmans Lake",0.168,"MN"
"10552","Bass Lake",0.135,"MN"
"10553","Pine Tree Lake",0.705,"MN"
"10554","Swamp Lake",0.077,"MN"
"10555","Exnell Lake",0.013,"MN"
"10556","Gables Lake",0.022,"MN"
"10557","Goose Lake",0.147,"MN"
"10558","Lake Martha",0.087,"MN"
"10559","Sunrise River Pool 3",0.003,"MN"
"10560","Flower Lake",0.025,"MN"
"10561","Troutlet Lake",0.362,"MN"
"10562","Manitumeig Lake",1.134,"MN"
"10563","Section Nine Lake",0.005,"MN"
"10564","Twin Lakes",0.03,"MN"
"10565","Springer Lake",0.045,"MN"
"10566","Moska Lake",0.033,"MN"
"10567","Staples Lake",0.06,"MN"
"10568","Fish Lake",0.243,"MN"
"10569","Heikkila Lake",0.398,"MN"
"10570","McDonald Lake",0.15,"MN"
"10571","Sea Lake",0.205,"MN"
"10572","Thirtysix Lake",0.102,"MN"
"10573","Croxton Pond",0.164,"MN"
"10574","Little Carnelian Lake",0.308,"MN"
"10575","Headquarters Lake",0.244,"MN"
"10576","Brown Lake",0.278,"MN"
"10577","Pearson Lake",0.103,"MN"
"10578","Lords Lake",0.12,"MN"
"10579","Little Kettle Lake",0.017,"MN"
"10580","Black Lake",0.019,"MN"
"10581","Duck Lake",0.247,"MN"
"10582","Bloom Lake",0.597,"MN"
"10583","Lake Leander",1.01070732,"MN"
"10584","Mud Hen Lake",0.293,"MN"
"10585","Moose Lake",0.513,"MN"
"10586","Mud Lake",0.031,"MN"
"10587","Eddy Lake",0.096,"MN"
"10588","Yates Lake",0.053,"MN"
"10589","Power Lake",0.313,"MN"
"10590","Double Lake",1.061,"MN"
"10591","Twin Lakes",0.044,"MN"
"10592","Little Elbow Lake",0.308,"MN"
"10593","Folsom Lake",0.059,"MN"
"10594","Knife Lake",0.03,"MN"
"10595","Bass Lake",0.32,"MN"
"10596","Ban Lake",1.57,"MN"
"10597","Brunner Lake",0.019,"MN"
"10598","Summit Lake",1.247,"MN"
"10599","Birch Lake",0.365,"MN"
"10600",".20 Reservoir",0.002,"MN"
"10601","Round Lake",0.151,"MN"
"10602","Mud Lake",0.131,"MN"
"10603","Holmes Lake",0.229,"MN"
"10604","Rice Lake",0.055,"MN"
"10605","Tarbert Lake",0.168,"MN"
"10606","Isaac Lake",0.097,"MN"
"10607","Elbow Lake",0.678,"MN"
"10608","Island Lake",0.072,"MN"
"10609","Jammer Lake",0.07195286,"MN"
"10610","Benfield Lake",0.091,"MN"
"10611","Wilbur Lake",0.175,"MN"
"10612","Keenan Lake",0.106,"MN"
"10613","Chain Lakes",0.035,"MN"
"10614","Hammer Lake",0.083,"MN"
"10615","Round Lake",0.06,"MN"
"10616","Ellstrom Lake",0.119,"MN"
"10617","Round Lake",0.202,"MN"
"10618","Long Lake",0.612,"MN"
"10619","Indian Lake",0.071,"MN"
"10620","Colvill Bay",0.099,"MN"
"10621","Hiekkila Lake",0.235,"MN"
"10622","Half Moon Lake",0.645,"MN"
"10623","Badger Lake",0.041,"MN"
"10624","Hatchet Lake",0.057,"MN"
"10625","Rice Lake",0.047,"MN"
"10626","Grass Lake",0.206,"MN"
"10627","Hunters Lake",0.279,"MN"
"10628","Little Tamarack Lake",0.223,"MN"
"10629","Second Lake",0.068,"MN"
"10630","Lena Lake",0.183,"MN"
"10631","Razor Lake",0.379,"MN"
"10632","South Fish Lake",0.296,"MN"
"10633","Blomberg Lake",0.285,"MN"
"10634","Chase Lake",0.02,"MN"
"10635","Ox Lake",0.116,"MN"
"10636","Net Lake",0.541,"MN"
"10637","Young Lake",0.508,"MN"
"10638","Lind Lake",0.161,"MN"
"10639","Little Yellow Lake",1.345,"MN"
"10640","Churchill Lake",0.129,"MN"
"10641","Rock Lake",0.313,"MN"
"10642","Twin Lakes",0.089,"MN"
"10643","Little Grand Lake",0.707,"MN"
"10644","White Lake",0.18,"MN"
"10645","Dovre Lake",0.462,"MN"
"10646","Big Doctor Lake",0.863,"MN"
"10647","Mud Lake",0.052,"MN"
"10648","Winkle Lake",0.138,"MN"
"10649","Grytal Lake",0.116,"MN"
"10650","Lake Lon",0.2041415,"MN"
"10651","King Lake",0.216,"MN"
"10652","Fish Lake",0.337,"MN"
"10653","Pike Lake",0.6,"MN"
"10654","Long Lake",0.189,"MN"
"10655","Long Lake",0.233,"MN"
"10656","Forge Lake",0.145,"MN"
"10657","Merritt Lake",0.786,"MN"
"10658","Coon Lake",6.012,"WI"
"10659","Big Carnelian Lake",1.855,"WI"
"10660","North Lake",5.077,"WI"
"10661","Big Butternut Lake",1.556,"WI"
"10662","Perch Lake",2.745,"WI"
"10663","Thomson Reservoir",1.383,"WI"
"10664","Eveleth Taconite Tailings Basin",2.16,"WI"
"10665","Pleasant Lake",1.358,"WI"
"10666","Bensel Pond",0.321,"WI"
"10667","Lake Eau Galle",1.444,"WI"
"10668","Lake Menomin",4.083,"WI"
"10669","Tuscobia Lake",0.71112009,"WI"
"10670","Birch Lake",1.474,"WI"
"10671","Pokegama Lake",0.957,"WI"
"10672","Birch Island Lake",3.109,"WI"
"10673","Webb Lake",3.06,"WI"
"10674","Middle McKenzie Lake",2.133,"WI"
"10675","Saint Croix Flowage",9.097,"WI"
"10676","Sand Lake",3.844,"WI"
